sample_id,scenario_id,heading_deg,label,p
flat_control_rot0_forward_0_0,flat_control,0,1,0.95
flat_control_rot0_forward_0_1,flat_control,0,1,0.95
flat_control_rot0_forward_0_2,flat_control,0,1,0.95
flat_control_rot0_forward_1_0,flat_control,0,1,0.95
flat_control_rot0_reverse_0_0,flat_control,180,1,0.95
flat_control_rot0_reverse_0_1,flat_control,180,1,0.95
flat_control_rot0_reverse_0_2,flat_control,180,1,0.95
flat_control_rot0_reverse_1_0,flat_control,180,1,0.95
flat_control_rot1_forward_0_0,flat_control,45,1,0.95
flat_control_rot1_forward_0_1,flat_control,45,1,0.95
flat_control_rot1_forward_0_2,flat_control,45,1,0.95
flat_control_rot1_forward_1_0,flat_control,45,1,0.95
flat_control_rot1_reverse_0_0,flat_control,225,1,0.95
flat_control_rot1_reverse_0_1,flat_control,225,1,0.95
flat_control_rot1_reverse_0_2,flat_control,225,1,0.95
flat_control_rot1_reverse_1_0,flat_control,225,1,0.95
flat_control_rot2_forward_0_0,flat_control,90,1,0.95
flat_control_rot2_forward_0_1,flat_control,90,1,0.95
flat_control_rot2_forward_0_2,flat_control,90,1,0.95
flat_control_rot2_forward_1_0,flat_control,90,1,0.95
flat_control_rot2_reverse_0_0,flat_control,270,1,0.95
flat_control_rot2_reverse_0_1,flat_control,270,1,0.95
flat_control_rot2_reverse_0_2,flat_control,270,1,0.95
flat_control_rot2_reverse_1_0,flat_control,270,1,0.95
flat_control_rot3_forward_0_0,flat_control,135,1,0.95
flat_control_rot3_forward_0_1,flat_control,135,1,0.95
flat_control_rot3_forward_0_2,flat_control,135,1,0.95
flat_control_rot3_forward_1_0,flat_control,135,1,0.95
flat_control_rot3_reverse_0_0,flat_control,315,1,0.95
flat_control_rot3_reverse_0_1,flat_control,315,1,0.95
flat_control_rot3_reverse_0_2,flat_control,315,1,0.95
flat_control_rot3_reverse_1_0,flat_control,315,1,0.95
flat_control_rot4_forward_0_0,flat_control,180,1,0.95
flat_control_rot4_forward_0_1,flat_control,180,1,0.95
flat_control_rot4_forward_0_2,flat_control,180,1,0.95
flat_control_rot4_forward_1_0,flat_control,180,1,0.95
flat_control_rot4_reverse_0_0,flat_control,0,1,0.95
flat_control_rot4_reverse_0_1,flat_control,0,1,0.95
flat_control_rot4_reverse_0_2,flat_control,0,1,0.95
flat_control_rot4_reverse_1_0,flat_control,0,1,0.95
flat_control_rot5_forward_0_0,flat_control,225,1,0.95
flat_control_rot5_forward_0_1,flat_control,225,1,0.95
flat_control_rot5_forward_0_2,flat_control,225,1,0.95
flat_control_rot5_forward_1_0,flat_control,225,1,0.95
flat_control_rot5_reverse_0_0,flat_control,45,1,0.95
flat_control_rot5_reverse_0_1,flat_control,45,1,0.95
flat_control_rot5_reverse_0_2,flat_control,45,1,0.95
flat_control_rot5_reverse_1_0,flat_control,45,1,0.95
flat_control_rot6_forward_0_0,flat_control,270,1,0.95
flat_control_rot6_forward_0_1,flat_control,270,1,0.95
flat_control_rot6_forward_0_2,flat_control,270,1,0.95
flat_control_rot6_forward_1_0,flat_control,270,1,0.95
flat_control_rot6_reverse_0_0,flat_control,90,1,0.95
flat_control_rot6_reverse_0_1,flat_control,90,1,0.95
flat_control_rot6_reverse_0_2,flat_control,90,1,0.95
flat_control_rot6_reverse_1_0,flat_control,90,1,0.95
